,pPTEN,pPI3K,pAKT,pGSK3B,LPS,bpV,LY294002,HDACi,ATP,ADP,P2Y12G,Ca
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0999099909990999,0.0024403210161634058,0.0005382669677823242,1.3502817749770815e-09,7.465235550170597e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1998199819981998,0.004874686590332014,0.0010727813673071151,1.0033601527965846e-08,6.450359583417316e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2997299729972997,0.007303110710742617,0.0016035683848563643,3.957640358179474e-08,2.8889608354426375e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3996399639963996,0.009725609505652162,0.002130656919691341,1.15782921359445e-07,1.0130448299437574e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.49954995499549953,0.012142193116580898,0.002654065015876879,2.6342804513394743e-07,2.7287269313685936e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5994599459945994,0.014552880876764287,0.003173827139953495,5.244457686230175e-07,6.238865479686003e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6993699369936993,0.016957686193973177,0.003689966913972249,9.412365840934411e-07,1.2856034323438092e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7992799279927992,0.019356623023015995,0.004202508908608155,1.5581007931428817e-06,2.404651944173929e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8991899189918992,0.021749705672602013,0.004711478147589906,2.4267289346713762e-06,4.1972604132424013e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9990999099909991,0.024136948435022,0.005216899576709928,3.5996124884064113e-06,6.903507281327308e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0990099009900989,0.026518365555274988,0.005718797911902061,5.1331801054453305e-06,1.0826018014510549e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1989198919891988,0.028893971253536467,0.006217197754192151,7.0845324287145485e-06,1.6304892821085334e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2988298829882987,0.03126377970088503,0.00671212347106721,9.51362949909839e-06,2.374923681150817e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3987398739873986,0.0336278050295586,0.007203599242819835,1.248338818743762e-05,3.362032916801921e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4986498649864985,0.03598606134492505,0.007691649144185753,1.6054850589307985e-05,4.6426812515757025e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5985598559855985,0.03833856270954552,0.00817629705301244,2.0290678928446446e-05,6.273967803011941e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6984698469846984,0.040685323140377185,0.00865756663652202,2.5255677302993894e-05,8.319401267383117e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7983798379837983,0.043026356627411305,0.00913548147224189,3.101214000088753e-05,1.0846603899083973e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8982898289828982,0.0453616771192977,0.009610064951476713,3.7623569433198255e-05,1.3929207710772813e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9981998199819981,0.047691298523371214,0.010081340293917454,4.5153673534458966e-05,1.7646621979204563e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
